epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,910.656,1.23896,0.84221,1.10465,0.9528,0.95327,0.98437,0.71565,0.9909,0.55674,1.02095,0.0004654,0.0004654,0.0004654
83,921.718,1.24155,0.79961,1.12148,0.90251,0.89399,0.96241,0.67228,1.07981,0.67804,1.07334,0.0004588,0.0004588,0.0004588
84,932.781,1.27318,0.80768,1.1427,0.93503,0.94704,0.98056,0.70472,1.03576,0.58407,1.04092,0.0004522,0.0004522,0.0004522
85,943.779,1.1939,0.82148,1.11146,0.91737,0.96885,0.98497,0.73762,0.973,0.55397,1.0179,0.0004456,0.0004456,0.0004456
86,954.982,1.28103,0.86398,1.13105,0.95057,0.95862,0.98774,0.7419,0.96458,0.53623,1.00617,0.000439,0.000439,0.000439
87,966.026,1.19729,0.81643,1.09586,0.93375,0.94393,0.98344,0.72029,0.99237,0.56244,1.0211,0.0004324,0.0004324,0.0004324
88,976.869,1.2037,0.76605,1.07734,0.94495,0.96262,0.9891,0.73978,0.95413,0.52614,1.00483,0.0004258,0.0004258,0.0004258
89,988.047,1.21205,0.78471,1.09231,0.95589,0.96573,0.98836,0.73205,0.97802,0.53667,1.01097,0.0004192,0.0004192,0.0004192
90,999.017,1.17428,0.76565,1.08567,0.94829,0.97123,0.99045,0.74268,0.93483,0.50845,0.99052,0.0004126,0.0004126,0.0004126
91,1010.08,1.21422,0.79212,1.10397,0.94751,0.96573,0.98959,0.73533,0.95728,0.52196,1.00206,0.000406,0.000406,0.000406
92,1020.94,1.20385,0.79445,1.11104,0.96923,0.91277,0.98483,0.72374,0.98269,0.5438,1.00673,0.0003994,0.0003994,0.0003994
93,1032.03,1.22142,0.7696,1.08359,0.94362,0.96885,0.98916,0.72829,0.95905,0.52348,0.99789,0.0003928,0.0003928,0.0003928
94,1043.46,1.15969,0.79153,1.07404,0.90605,0.9013,0.97166,0.69559,1.03635,0.61064,1.03641,0.0003862,0.0003862,0.0003862
95,1054.88,1.17677,0.76715,1.08925,0.95414,0.94704,0.98345,0.70457,1.02273,0.55371,1.01842,0.0003796,0.0003796,0.0003796
96,1066.05,1.21685,0.80527,1.10476,0.94731,0.96573,0.98846,0.74355,0.91401,0.51417,0.98518,0.000373,0.000373,0.000373
97,1077.22,1.16307,0.75809,1.07035,0.94843,0.974,0.99001,0.74803,0.91611,0.50195,0.98209,0.0003664,0.0003664,0.0003664
98,1088.32,1.14262,0.73957,1.05446,0.93733,0.98442,0.99092,0.76133,0.89004,0.49486,0.97475,0.0003598,0.0003598,0.0003598
99,1099.4,1.12562,0.73989,1.06956,0.94039,0.98294,0.99031,0.75265,0.90634,0.4929,0.97866,0.0003532,0.0003532,0.0003532
100,1110.59,1.10555,0.6861,1.04892,0.95087,0.96478,0.98846,0.75442,0.91767,0.49844,0.98415,0.0003466,0.0003466,0.0003466
101,1121.81,1.1629,0.74495,1.06851,0.9627,0.95639,0.99098,0.76072,0.88564,0.48562,0.97144,0.00034,0.00034,0.00034
102,1132.87,1.09564,0.70805,1.04387,0.96496,0.96885,0.99208,0.76745,0.87483,0.46758,0.96184,0.0003334,0.0003334,0.0003334
103,1144.03,1.15926,0.77086,1.06907,0.95451,0.98043,0.99206,0.76907,0.86883,0.47777,0.96407,0.0003268,0.0003268,0.0003268
104,1155.28,1.12822,0.74166,1.05254,0.96306,0.9745,0.99167,0.76155,0.8768,0.49516,0.96779,0.0003202,0.0003202,0.0003202
105,1166.52,1.10972,0.75766,1.04073,0.95129,0.97342,0.9901,0.75764,0.90651,0.506,0.97372,0.0003136,0.0003136,0.0003136
106,1177.68,1.13211,0.749,1.0595,0.94931,0.96262,0.98912,0.76387,0.88238,0.49595,0.9689,0.000307,0.000307,0.000307
107,1188.77,1.14431,0.7566,1.06515,0.95374,0.97508,0.9906,0.75868,0.889,0.49582,0.97317,0.0003004,0.0003004,0.0003004
108,1199.85,1.10231,0.71608,1.06735,0.96605,0.98442,0.99265,0.77253,0.85965,0.47898,0.95895,0.0002938,0.0002938,0.0002938
109,1211,1.13225,0.71912,1.06149,0.96337,0.98326,0.99265,0.77334,0.86662,0.47442,0.95996,0.0002872,0.0002872,0.0002872
110,1222.27,1.11875,0.68878,1.06341,0.96563,0.98754,0.99289,0.77332,0.8548,0.47041,0.95458,0.0002806,0.0002806,0.0002806
111,1233.32,1.12429,0.73256,1.07612,0.96482,0.96262,0.99178,0.77121,0.85239,0.46488,0.95242,0.000274,0.000274,0.000274
112,1244.37,1.05846,0.66823,1.02519,0.96336,0.97196,0.99278,0.78206,0.83021,0.45378,0.94371,0.0002674,0.0002674,0.0002674
113,1255.61,1.09533,0.69145,1.03505,0.98704,0.94926,0.99294,0.77525,0.83994,0.45886,0.9475,0.0002608,0.0002608,0.0002608
114,1266.62,1.06794,0.68103,1.0209,0.99496,0.96573,0.9942,0.77304,0.8359,0.4485,0.94743,0.0002542,0.0002542,0.0002542
115,1277.68,1.11105,0.75015,1.04847,0.98257,0.96573,0.99357,0.77766,0.82408,0.45537,0.94298,0.0002476,0.0002476,0.0002476
116,1288.73,1.10223,0.68138,1.04258,0.99046,0.96993,0.99393,0.77964,0.8351,0.44893,0.94247,0.000241,0.000241,0.000241
117,1299.87,1.08689,0.68693,1.04019,0.97222,0.98133,0.99375,0.7844,0.83662,0.447,0.93969,0.0002344,0.0002344,0.0002344
118,1311.04,1.09302,0.73613,1.05923,0.97581,0.96573,0.99249,0.77279,0.85554,0.45878,0.94602,0.0002278,0.0002278,0.0002278
119,1322.18,1.09018,0.68399,1.0314,0.96897,0.97287,0.99282,0.77312,0.84103,0.45231,0.94079,0.0002212,0.0002212,0.0002212
120,1333.29,1.05699,0.66906,1.02257,0.96569,0.96885,0.99192,0.78097,0.80922,0.45221,0.93362,0.0002146,0.0002146,0.0002146
121,1344.28,1.0466,0.68681,1.02077,0.98099,0.96467,0.99326,0.7833,0.80135,0.43703,0.92835,0.000208,0.000208,0.000208
122,1355.37,1.01813,0.65906,1.00481,0.97698,0.97508,0.99368,0.77781,0.83511,0.44801,0.93856,0.0002014,0.0002014,0.0002014
123,1366.75,1.0237,0.66437,1.00016,0.97207,0.9759,0.99309,0.7874,0.80248,0.44083,0.928,0.0001948,0.0001948,0.0001948
124,1377.79,1.02093,0.65697,0.99494,0.97494,0.96964,0.99323,0.79278,0.79765,0.43715,0.92534,0.0001882,0.0001882,0.0001882
125,1388.93,1.03634,0.64288,1.02506,0.98431,0.97746,0.99391,0.79415,0.79447,0.43184,0.9262,0.0001816,0.0001816,0.0001816
126,1400.04,1.02047,0.65104,1.01837,0.9749,0.98442,0.99386,0.79489,0.77507,0.42284,0.91808,0.000175,0.000175,0.000175
127,1411.16,1.02319,0.64178,1.02137,0.97184,0.96778,0.99264,0.78964,0.7814,0.43939,0.92,0.0001684,0.0001684,0.0001684
128,1422.14,1.05438,0.65586,1.02733,0.99153,0.96573,0.99415,0.79373,0.78658,0.42524,0.9194,0.0001618,0.0001618,0.0001618
129,1433.09,1.01618,0.65139,1.01118,0.98737,0.97453,0.99427,0.79001,0.78877,0.42496,0.91928,0.0001552,0.0001552,0.0001552
130,1443.91,1.02782,0.65399,1.0072,0.98703,0.98442,0.99444,0.79199,0.77717,0.42148,0.91531,0.0001486,0.0001486,0.0001486
131,1454.77,1.01693,0.67555,1.00846,0.98293,0.97508,0.99407,0.80328,0.76933,0.42442,0.91482,0.000142,0.000142,0.000142
132,1465.67,1.01616,0.6317,0.99631,0.98123,0.977,0.99341,0.79444,0.78621,0.43743,0.92396,0.0001354,0.0001354,0.0001354
133,1476.57,1.0239,0.63981,1.00734,0.98433,0.97814,0.99406,0.80485,0.76768,0.42508,0.91377,0.0001288,0.0001288,0.0001288
134,1487.59,1.03275,0.67795,1.02124,0.98742,0.9778,0.99413,0.80636,0.75841,0.41655,0.90956,0.0001222,0.0001222,0.0001222
135,1498.49,1.00588,0.62978,0.9989,0.97757,0.98131,0.99408,0.79864,0.78017,0.42141,0.91727,0.0001156,0.0001156,0.0001156
136,1509.52,1.02727,0.63652,1.00647,0.97239,0.9875,0.99381,0.79719,0.78379,0.425,0.91788,0.000109,0.000109,0.000109
137,1520.46,0.9862,0.62949,0.98824,0.97412,0.98754,0.99375,0.79779,0.76369,0.41994,0.91211,0.0001024,0.0001024,0.0001024
138,1531.45,1.01594,0.64565,1.0133,0.97831,0.9835,0.99404,0.79934,0.77467,0.41813,0.91171,9.58e-05,9.58e-05,9.58e-05
139,1542.36,1.00872,0.63085,0.98562,0.96968,0.98442,0.99387,0.79975,0.77388,0.42114,0.91173,8.92e-05,8.92e-05,8.92e-05
140,1553.18,1.01353,0.61251,0.99212,0.97805,0.97146,0.99376,0.80423,0.76559,0.41812,0.91013,8.26e-05,8.26e-05,8.26e-05
141,1572.66,1.08982,0.64426,1.03113,0.96048,0.95327,0.98703,0.76351,0.85699,0.46771,0.93575,7.6e-05,7.6e-05,7.6e-05
142,1583.47,1.10059,0.65372,1.03157,0.96613,0.93769,0.98534,0.75773,0.87608,0.48332,0.94114,6.94e-05,6.94e-05,6.94e-05
143,1594.27,1.07333,0.60927,1.02522,0.9835,0.92844,0.98748,0.76377,0.86158,0.47361,0.93753,6.28e-05,6.28e-05,6.28e-05
144,1605.05,1.10362,0.65541,1.04817,0.95939,0.95679,0.98698,0.7616,0.86995,0.47567,0.93951,5.62e-05,5.62e-05,5.62e-05
145,1615.85,0.98921,0.61403,0.99747,0.98382,0.94736,0.98927,0.77777,0.83586,0.4556,0.92959,4.96e-05,4.96e-05,4.96e-05
146,1626.6,1.00576,0.57144,0.99561,0.97819,0.95327,0.98989,0.77694,0.82915,0.45672,0.92697,4.3e-05,4.3e-05,4.3e-05
147,1637.53,0.99276,0.591,0.9898,0.98285,0.95639,0.99001,0.77698,0.83444,0.45371,0.92935,3.64e-05,3.64e-05,3.64e-05
148,1648.36,0.98731,0.57345,0.98547,0.9839,0.95161,0.98983,0.77504,0.84459,0.45896,0.93248,2.98e-05,2.98e-05,2.98e-05
149,1659.15,0.94256,0.55175,0.9784,0.98397,0.95586,0.99044,0.7801,0.82723,0.45109,0.9272,2.32e-05,2.32e-05,2.32e-05
150,1670.1,0.98936,0.61364,0.98971,0.96235,0.95545,0.99008,0.78138,0.82609,0.45357,0.92646,1.66e-05,1.66e-05,1.66e-05
