epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1197.46,1.53975,1.57358,1.3479,0.82535,0.57991,0.73077,0.4583,1.32527,1.15102,1.21114,0.000274,0.000274,0.000274
112,1208.17,1.58704,1.62172,1.32656,0.82866,0.61358,0.73706,0.45855,1.3366,1.17573,1.21542,0.0002674,0.0002674,0.0002674
113,1218.85,1.51884,1.55494,1.32063,0.76577,0.65535,0.73647,0.45795,1.34625,1.17998,1.21278,0.0002608,0.0002608,0.0002608
114,1229.51,1.53361,1.48996,1.3038,0.7903,0.62975,0.73794,0.45769,1.34397,1.16001,1.20834,0.0002542,0.0002542,0.0002542
115,1240.28,1.52988,1.49359,1.30913,0.78106,0.62408,0.73167,0.45502,1.34474,1.16908,1.21024,0.0002476,0.0002476,0.0002476
116,1251.02,1.5191,1.52355,1.31604,0.84105,0.6217,0.76484,0.48419,1.29954,1.08656,1.1912,0.000241,0.000241,0.000241
117,1261.72,1.60241,1.57724,1.33753,0.81654,0.63446,0.75302,0.46815,1.33584,1.13599,1.20474,0.0002344,0.0002344,0.0002344
118,1272.44,1.51592,1.51818,1.31149,0.7978,0.62841,0.73186,0.44334,1.36128,1.19561,1.23308,0.0002278,0.0002278,0.0002278
119,1283.34,1.53505,1.54555,1.30799,0.87172,0.60052,0.75841,0.47566,1.3204,1.10141,1.20257,0.0002212,0.0002212,0.0002212
120,1294.04,1.56913,1.55594,1.31699,0.87355,0.6313,0.77006,0.48975,1.29818,1.07127,1.1951,0.0002146,0.0002146,0.0002146
121,1304.85,1.52749,1.51669,1.31763,0.84701,0.64752,0.7798,0.49606,1.29063,1.04639,1.19035,0.000208,0.000208,0.000208
122,1315.56,1.43645,1.38324,1.25187,0.84577,0.64491,0.77052,0.48376,1.30261,1.08497,1.19745,0.0002014,0.0002014,0.0002014
123,1326.24,1.52768,1.51649,1.29229,0.80516,0.62924,0.74672,0.45906,1.3402,1.13619,1.21307,0.0001948,0.0001948,0.0001948
124,1336.9,1.49676,1.47777,1.29378,0.82797,0.66603,0.77765,0.49389,1.28523,1.06139,1.18733,0.0001882,0.0001882,0.0001882
125,1347.55,1.49788,1.4359,1.29988,0.8261,0.64495,0.76945,0.48839,1.2935,1.06882,1.18617,0.0001816,0.0001816,0.0001816
126,1358.2,1.50617,1.42977,1.28086,0.83356,0.62663,0.75734,0.47533,1.30176,1.10137,1.19323,0.000175,0.000175,0.000175
127,1368.88,1.5188,1.47324,1.29371,0.77088,0.68668,0.77268,0.48789,1.28835,1.06371,1.18863,0.0001684,0.0001684,0.0001684
128,1379.62,1.4763,1.33431,1.26535,0.88139,0.63185,0.77939,0.49808,1.28243,1.04718,1.18382,0.0001618,0.0001618,0.0001618
129,1390.32,1.46483,1.40548,1.2697,0.8351,0.6658,0.77953,0.49989,1.2761,1.04284,1.17756,0.0001552,0.0001552,0.0001552
130,1401.33,1.49006,1.44804,1.2979,0.80161,0.71741,0.79202,0.51012,1.26149,1.02033,1.16744,0.0001486,0.0001486,0.0001486
131,1412.25,1.51074,1.48481,1.30973,0.79381,0.68353,0.76943,0.48588,1.29311,1.06387,1.18753,0.000142,0.000142,0.000142
132,1423.04,1.47042,1.39859,1.26148,0.81289,0.6423,0.74298,0.46092,1.32629,1.13391,1.20803,0.0001354,0.0001354,0.0001354
133,1433.78,1.53274,1.48124,1.29063,0.82071,0.66841,0.77482,0.49611,1.27914,1.05249,1.17894,0.0001288,0.0001288,0.0001288
134,1444.7,1.52451,1.37435,1.29863,0.84375,0.67102,0.79835,0.51626,1.24765,1.00072,1.16216,0.0001222,0.0001222,0.0001222
135,1455.5,1.52617,1.4173,1.27648,0.86802,0.67102,0.79926,0.51808,1.24213,1.00037,1.15994,0.0001156,0.0001156,0.0001156
136,1466.37,1.50323,1.39943,1.2826,0.84978,0.68407,0.79813,0.51341,1.24681,1.00619,1.16174,0.000109,0.000109,0.000109
137,1477.39,1.4408,1.36163,1.22191,0.85105,0.67129,0.794,0.51695,1.25273,1.00934,1.16498,0.0001024,0.0001024,0.0001024
138,1488.16,1.56017,1.50937,1.28597,0.85591,0.68239,0.79344,0.51332,1.25457,1.0264,1.16416,9.58e-05,9.58e-05,9.58e-05
139,1498.92,1.46227,1.32964,1.26089,0.86017,0.66057,0.7903,0.51406,1.26425,1.03008,1.16599,8.92e-05,8.92e-05,8.92e-05
140,1509.73,1.49638,1.41579,1.26243,0.82497,0.70757,0.80632,0.52248,1.24754,0.99315,1.16036,8.26e-05,8.26e-05,8.26e-05
141,1528.98,1.62879,1.55721,1.34416,0.74809,0.6893,0.76377,0.47,1.35769,1.1032,1.20389,7.6e-05,7.6e-05,7.6e-05
142,1539.66,1.55438,1.4593,1.32448,0.77323,0.63209,0.74978,0.46261,1.37654,1.11736,1.2153,6.94e-05,6.94e-05,6.94e-05
143,1550.47,1.57396,1.52944,1.34072,0.7421,0.67616,0.75589,0.47392,1.33897,1.09305,1.2017,6.28e-05,6.28e-05,6.28e-05
144,1561.17,1.63892,1.53026,1.3557,0.75002,0.64491,0.7465,0.46975,1.33854,1.11548,1.20249,5.62e-05,5.62e-05,5.62e-05
145,1571.82,1.52424,1.43324,1.31522,0.80954,0.67102,0.77811,0.4926,1.31094,1.07029,1.19435,4.96e-05,4.96e-05,4.96e-05
146,1582.28,1.54769,1.4282,1.33683,0.85011,0.65535,0.78351,0.49655,1.30187,1.05344,1.19093,4.3e-05,4.3e-05,4.3e-05
147,1592.94,1.49989,1.3927,1.27947,0.83973,0.67363,0.78613,0.49963,1.29211,1.04955,1.19099,3.64e-05,3.64e-05,3.64e-05
148,1603.45,1.42582,1.34573,1.27015,0.81247,0.70235,0.78846,0.50194,1.28899,1.04245,1.18797,2.98e-05,2.98e-05,2.98e-05
149,1613.93,1.44998,1.36382,1.26694,0.82232,0.68407,0.78711,0.50153,1.29065,1.04189,1.19022,2.32e-05,2.32e-05,2.32e-05
150,1624.49,1.53342,1.35556,1.3129,0.80188,0.68692,0.78886,0.49876,1.29073,1.0487,1.18678,1.66e-05,1.66e-05,1.66e-05
